seq,rtt_ms,oneway_est_ms
809,5.38,2.69
810,7.32,3.66
811,5.41,2.70
812,9.97,4.99
813,14.63,7.31
814,6.74,3.37
815,5.69,2.85
816,10.83,5.42
817,5.40,2.70
818,17.43,8.72
819,7.18,3.59
820,10.07,5.04
821,6.40,3.20
822,8.49,4.25
823,9.06,4.53
824,15.67,7.84
825,5.05,2.53
826,13.82,6.91
827,9.54,4.77
828,11.50,5.75
829,28.99,14.50
830,6.54,3.27
831,11.54,5.77
832,17.12,8.56
833,13.81,6.90
834,10.97,5.48
835,15.60,7.80
836,8.51,4.25
837,8.11,4.06
838,8.45,4.23
839,10.33,5.17
840,5.54,2.77
841,6.66,3.33
842,11.14,5.57
843,17.25,8.62
844,4.79,2.40
845,9.37,4.68
846,13.27,6.63
847,9.26,4.63
848,6.26,3.13
849,6.91,3.45
850,27.70,13.85
851,7.15,3.58
852,5.39,2.70
853,6.40,3.20
854,15.20,7.60
855,15.10,7.55
856,8.20,4.10
857,8.43,4.21
858,18.44,9.22
859,10.42,5.21
860,5.01,2.50
861,9.87,4.93
862,5.36,2.68
863,6.75,3.37
864,14.05,7.02
865,11.90,5.95
866,5.30,2.65
867,10.48,5.24
868,8.96,4.48
869,16.09,8.05
870,7.19,3.60
871,48.53,24.27
872,6.35,3.17
873,9.12,4.56
874,12.54,6.27
875,8.58,4.29
876,5.79,2.89
877,14.79,7.39
878,11.28,5.64
879,5.71,2.85
880,5.59,2.79
881,12.48,6.24
882,7.06,3.53
883,12.93,6.47
884,6.25,3.13
885,9.72,4.86
886,6.03,3.01
887,8.87,4.43
888,20.91,10.45
889,14.48,7.24
890,8.57,4.28
891,6.58,3.29
892,18.88,9.44
893,6.91,3.45
894,4.91,2.45
895,7.86,3.93
896,5.44,2.72
897,13.18,6.59
898,16.51,8.26
899,12.92,6.46
900,11.14,5.57
901,6.79,3.40
902,11.71,5.86
903,15.68,7.84
904,9.42,4.71
905,8.66,4.33
906,8.31,4.16
907,33.16,16.58
908,6.90,3.45
909,15.39,7.69
910,10.64,5.32
911,13.85,6.93
912,10.32,5.16
913,10.74,5.37
914,5.06,2.53
915,5.72,2.86
916,8.30,4.15
917,6.06,3.03
918,9.48,4.74
919,10.40,5.20
920,9.88,4.94
921,5.10,2.55
922,6.77,3.39
923,44.96,22.48
924,8.60,4.30
925,12.00,6.00
926,8.10,4.05
927,8.63,4.32
928,7.67,3.83
929,10.42,5.21
930,5.62,2.81
931,11.58,5.79
932,14.98,7.49
933,11.74,5.87
934,9.68,4.84
935,11.44,5.72
936,6.54,3.27
937,11.61,5.80
938,12.36,6.18
939,10.46,5.23
940,12.75,6.37
941,16.56,8.28
942,9.81,4.90
943,5.45,2.73
944,10.80,5.40
945,5.71,2.85
946,17.26,8.63
947,12.88,6.44
948,9.52,4.76
949,5.46,2.73
950,10.34,5.17
951,10.51,5.25
952,8.78,4.39
953,12.65,6.33
954,35.11,17.56
955,10.19,5.10
956,12.12,6.06
957,10.13,5.06
958,6.74,3.37
959,10.50,5.25
960,12.80,6.40
961,5.64,2.82
962,14.60,7.30
963,5.61,2.80
964,33.18,16.59
965,11.89,5.94
966,14.08,7.04
967,14.18,7.09
968,10.39,5.19
969,5.54,2.77
970,7.61,3.81
971,5.67,2.83
972,8.33,4.17
973,12.78,6.39
974,12.21,6.10
975,4.96,2.48
976,12.91,6.45
977,9.14,4.57
978,9.65,4.82
979,7.51,3.75
980,7.66,3.83
981,7.35,3.67
982,9.75,4.88
983,5.50,2.75
984,9.68,4.84
985,8.58,4.29
986,15.76,7.88
987,5.47,2.74
988,11.60,5.80
989,9.65,4.82
990,6.54,3.27
991,7.11,3.55
992,5.90,2.95
993,11.83,5.92
994,17.19,8.60
995,5.17,2.59
996,7.37,3.69
997,11.87,5.93
998,10.77,5.38
999,9.12,4.56
1000,5.51,2.75
1001,12.91,6.45
1002,11.78,5.89
1003,15.80,7.90
1004,9.48,4.74
1005,11.11,5.55
1006,10.22,5.11
1007,5.93,2.96
1008,20.42,10.21
1009,7.84,3.92
1010,11.87,5.94
1011,9.45,4.72
1012,6.13,3.06
1013,8.17,4.09
1014,12.54,6.27
1015,6.91,3.46
1016,8.88,4.44
1017,33.95,16.98
1018,7.07,3.53
1019,12.05,6.03
1020,11.73,5.87
1021,38.82,19.41
1022,8.24,4.12
1023,13.45,6.73
1024,13.37,6.68
1025,13.03,6.52
1026,9.13,4.56
1027,14.39,7.20
1028,14.73,7.36
1029,7.41,3.71
1030,11.74,5.87
1031,8.25,4.12
1032,9.59,4.80
1033,7.66,3.83
1034,13.74,6.87
1035,8.57,4.28
1036,10.17,5.09
1037,9.37,4.68
1038,14.77,7.38
1039,72.07,36.04
1040,13.41,6.70
1041,13.63,6.82
1042,17.10,8.55
1043,9.48,4.74
1044,6.50,3.25
1045,6.79,3.40
1046,12.36,6.18
1047,24.97,12.48
1048,7.73,3.86
1049,8.05,4.03
1050,8.23,4.12
1051,19.05,9.53
1052,6.72,3.36
1053,10.13,5.07
1054,15.10,7.55
1055,17.21,8.61
1056,10.15,5.07
1057,9.98,4.99
1058,9.09,4.55
1059,7.80,3.90
1060,11.87,5.94
1061,12.02,6.01
1062,10.53,5.26
1063,12.60,6.30
1064,8.71,4.35
1065,16.14,8.07
1066,9.17,4.59
1067,5.60,2.80
1068,9.67,4.83
1069,5.58,2.79
1070,9.36,4.68
1071,20.62,10.31
1072,6.30,3.15
1073,8.54,4.27
1074,9.47,4.73
1075,5.56,2.78
1076,11.70,5.85
1077,13.03,6.52
1078,5.44,2.72
1079,8.24,4.12
1080,8.77,4.38
1081,11.20,5.60
1082,15.28,7.64
1083,8.44,4.22
1084,15.34,7.67
1085,14.93,7.47
1086,5.35,2.67
1087,9.96,4.98
1088,10.28,5.14
1089,11.63,5.81
1090,4.97,2.48
1091,25.04,12.52
1092,10.15,5.08
1093,6.11,3.06
1094,9.44,4.72
1095,8.06,4.03
1096,22.65,11.32
1097,9.93,4.96
1098,5.38,2.69
1099,6.93,3.46
1100,9.63,4.81
1101,5.86,2.93
1102,16.23,8.12
1103,7.12,3.56
1104,13.61,6.80
1105,8.13,4.06
1106,9.24,4.62
1107,7.73,3.86
1108,9.46,4.73
1109,5.54,2.77
1110,19.48,9.74
1111,25.95,12.98
1112,15.24,7.62
1113,8.40,4.20
1114,15.25,7.62
1115,13.90,6.95
1116,12.55,6.28
1117,9.74,4.87
1118,5.97,2.98
1119,11.96,5.98
1120,13.02,6.51
1121,12.05,6.03
1122,9.43,4.71
1123,17.29,8.65
1124,5.93,2.96
1125,13.81,6.90
1126,9.75,4.88
1127,7.60,3.80
1128,6.07,3.03
1129,8.98,4.49
1130,6.92,3.46
1131,10.16,5.08
1132,8.15,4.07
1133,13.43,6.72
1134,7.99,4.00
1135,7.02,3.51
1136,7.63,3.82
1137,10.46,5.23
1138,7.56,3.78
1139,10.15,5.08
1140,5.47,2.73
1141,5.21,2.60
1142,9.36,4.68
1143,12.00,6.00
1144,13.87,6.94
1145,7.75,3.88
1146,7.95,3.97
1147,6.09,3.04
1148,10.59,5.29
1149,7.74,3.87
1150,9.28,4.64
1151,6.00,3.00
1152,9.89,4.94
1153,10.07,5.03
1154,7.99,4.00
1155,9.53,4.77
1156,12.48,6.24
1157,9.16,4.58
1158,10.91,5.45
1159,19.61,9.80
1160,13.45,6.72
1161,10.24,5.12
1162,5.38,2.69
1163,7.76,3.88
1164,8.91,4.45
1165,20.84,10.42
1166,9.62,4.81
1167,10.97,5.48
1168,12.76,6.38
1169,8.95,4.47
1170,12.08,6.04
1171,6.94,3.47
1172,10.28,5.14
1173,29.53,14.76
1174,12.34,6.17
1175,11.00,5.50
1176,8.02,4.01
1177,8.11,4.05
1178,23.64,11.82
1179,13.10,6.55
1180,6.49,3.24
1181,20.62,10.31
1182,11.74,5.87
1183,12.77,6.39
1184,11.12,5.56
1185,10.13,5.06
1186,7.43,3.72
1187,13.74,6.87
1188,11.54,5.77
1189,17.33,8.66
1190,7.62,3.81
1191,6.54,3.27
1192,8.83,4.41
1193,36.36,18.18
1194,14.91,7.46
1195,9.90,4.95
1196,5.52,2.76
1197,11.35,5.67
1198,6.99,3.50
1199,9.44,4.72
1200,8.29,4.14
1201,9.78,4.89
1202,11.04,5.52
1203,8.69,4.34
1204,6.49,3.25
1205,18.14,9.07
1206,8.67,4.33
1207,11.64,5.82
1208,11.31,5.66
1209,9.44,4.72
1210,15.65,7.83
1211,10.97,5.49
1212,7.66,3.83
1213,5.96,2.98
1214,8.08,4.04
1215,26.04,13.02
1216,6.58,3.29
1217,5.16,2.58
1218,5.72,2.86
1219,12.18,6.09
1220,10.94,5.47
